        ID    Symbol    Name       Date    Open    High     Low   Close  Change1    Volume       Amount  TurnoverRate       PE  issuedCapital    CAPITAL     EPS
1938  1939  SZ002130    沃尔核材 2012-04-25  14.990  16.390  14.660  16.040    6.933    119453    189148300          6.77   100.25      17642.810   29345.54  0.1600
1002  1003  SH600684    珠江实业 2012-04-25   9.080   9.950   9.070   9.680    6.843    135492    130669400          5.57    11.35      24315.120   24315.12  0.8531
1045  1046  SH600731    湖南海利 2012-04-25   6.080   6.650   6.030   6.560    6.840    292389    186232900         11.44   234.29      25553.830   25631.41  0.0280
1583  1584  SZ000631    顺发恒业 2012-04-25   5.840   6.400   5.810   6.250    6.838    157374     97052540          6.51     9.77      24191.370  104551.00  0.6400
903    904  SH600565    迪马股份 2012-04-25   4.160   4.550   4.140   4.430    6.747    288927    126632400          4.01    44.30      72000.000   72000.00  0.1000
1798  1799  SZ000976    春晖股份 2012-04-25   3.850   4.260   3.770   4.150    6.684    156123     63313610          2.66     0.00      58658.550   58664.28 -0.1292
2090  2091  SZ002290    禾盛新材 2012-04-25  15.700  16.970  15.700  16.940    6.675     20891     34423790          3.32    42.35       6300.817   15048.00  0.4000
1482  1483  SZ000501    鄂武商Ａ 2012-04-25  13.650  14.650  13.630  14.560    6.667     52793     74495580          1.04    20.23      50719.930   50724.86  0.7198
1572  1573  SZ000616    亿城股份 2012-04-25   4.030   4.450   4.030   4.330    6.650    743088    314104200          6.23    14.43     119186.200  119186.20  0.3000
634    635  SH600212    江泉实业 2012-04-25   3.750   4.030   3.670   4.010    6.649    225471     88342710          4.41     0.00      51169.720   51169.72 -0.0688
926    927  SH600592    龙溪股份 2012-04-25   8.430   9.200   8.340   9.030    6.612     99025     87901010          3.30    24.41      30000.000   30000.00  0.3700
2574  2575  SZ150050    消费进取 2012-04-25   0.995   1.079   0.995   1.055    6.566   1092284    114766400          0.00     0.00          0.000       0.00  0.0000
726    727  SH600321    国栋建设 2012-04-25   5.680   6.260   5.600   6.060    6.503    304455    183061200          6.68   111.40      45552.000   59044.00  0.0544
831    832  SH600477    杭萧钢构 2012-04-25   5.660   6.270   5.610   6.080    6.480    203054    121649100          6.04    40.00      33638.590   46345.82  0.1520
1589  1590  SZ000638    万方地产 2012-04-25   6.710   7.170   6.680   7.140    6.408     27725     19582230          3.14     0.00       8840.000   15470.00 -0.0900
2080  2081  SZ002280     新世纪 2012-04-25  13.100  14.400  12.970  13.990    6.388     23435     32587720          6.57    34.98       3565.084   10700.00  0.4000
1059  1060  SH600745    中茵股份 2012-04-25  10.200  11.190  10.050  10.870    6.256    233175    247959000          7.12    20.13      32737.490   32737.49  0.5400
2780  2781  SZ300032    金龙机电 2012-04-25  13.920  14.990  13.720  14.800    6.246     10627     15451280          2.98    51.50       3570.000   14270.00  0.2874
1033  1034  SH600719    大连热电 2012-04-25   6.620   7.020   6.550   7.010    6.212     57491     39398290          2.84     8.90      20229.980   20229.98  0.7880
1690  1691  SZ000810    华润锦华 2012-04-25   9.790  10.820   9.660  10.450    6.199     19834     20763340          1.53     0.00      12966.570   12966.57 -0.0740
1206  1207  SH600981    江苏开元 2012-04-25   5.170   5.600   5.110   5.500    6.178    180742     98551460          3.50    90.46      51610.650   51610.65  0.0608
588    589  SH600158    中体产业 2012-04-25   6.160   6.700   6.140   6.550    6.159    397185    256712000          6.04  2046.88      65749.540   84373.54  0.0032
794    795  SH600408    安泰集团 2012-04-25   4.300   4.600   4.230   4.560    6.047    230330    102111200          2.29     0.00     100680.000  100680.00 -0.1600        ID    Symbol    Name       Date    Open    High     Low   Close  Change1    Volume       Amount  TurnoverRate       PE  issuedCapital    CAPITAL     EPS
2533  2534  SZ131911  ＲＣ-002 2012-04-25   4.400   7.200   4.400   5.801  163.682    618011    618011000          0.00     0.00          0.000       0.00  0.0000
422    423  SH204002   GC002 2012-04-25   6.700   7.605   4.050   7.000  155.475   6140500   6140500000          0.00     0.00          0.000       0.00  0.0000
423    424  SH204003   GC003 2012-04-25   6.550   8.000   6.550   7.390   47.800   3307200   3307200000          0.00     0.00          0.000       0.00  0.0000
